date,rank_score
2020-03-04,732440
2020-03-05,2149280
2020-03-08,2555373
2020-03-10,2130769
2020-03-12,6706782
2020-03-12,2608767
2020-03-13,687213
2020-03-16,599442
2020-03-17,4098178
2020-03-17,2606766
2020-03-20,1122579
2020-03-23,1921756
2020-03-24,1471176
2020-03-25,1649495
2020-03-26,12708539
2020-03-28,2923210
2020-03-30,2726300
2020-03-30,3210185
2020-03-31,2593244
2020-03-31,1246018
2020-03-31,1533385
2020-04-08,2167624
2020-04-09,1112959
2020-04-12,3398890
2020-04-17,1625206
2020-04-18,1754774
2020-04-19,1708915
2020-04-20,2237206
2020-04-23,1123669
2020-04-30,3037118
2020-04-30,1774134
2020-05-01,1993192
2020-05-02,1166254
2020-05-04,1153225
2020-05-10,720944
2020-05-14,4787021
2020-05-20,1166331
2020-05-20,611406
2020-05-23,2489629
2020-05-26,1179141
2020-05-27,2356730
2020-06-01,4084338
2020-06-03,3753923
2020-06-08,2820964
2020-06-11,1325325
2020-06-17,1668491
2020-06-24,1733213
2020-07-02,2449370
2020-07-15,733131
2020-07-29,2266131
2020-08-04,1346065
2020-08-07,1642888
2020-08-14,598355
2020-08-24,1485636
2020-09-13,655371
2020-09-20,2451005
2020-09-20,4178178
2020-10-01,7232747
2020-10-17,698763
2020-10-18,1114765
2020-10-23,1876964
2020-11-08,2326178
2020-11-13,620325
2020-11-15,622860
2020-11-30,3665202
2020-12-06,3435402
2020-12-07,6846315
2020-12-09,1128321
2020-12-15,2668995
2020-12-19,5406537
2020-12-24,3301086
2021-01-05,1870592
2021-01-05,669075
2021-01-15,590917
2021-01-22,1252981
2021-01-25,2021706
2021-01-27,1591548
2021-01-28,2204185
2021-01-30,14655755
2021-01-30,4598835
2021-02-01,1367865
2021-02-02,1833811
2021-02-06,2857347
2021-02-09,4262668
2021-02-12,2704524
2021-02-15,827806
2021-02-16,3585308
2021-02-17,1832037
2021-02-21,2126022
2021-02-23,2066584
2021-02-27,2002333
2021-03-02,2320750
2021-03-09,1067089
2021-03-10,2469677
2021-03-12,3560589
2021-03-19,2584176
2021-03-24,1542774
2021-03-26,912106
2021-03-30,12105181
2021-04-06,898661
2021-04-08,7551418
2021-04-24,2015515
2021-05-12,2824290
2021-05-17,1787663
2021-05-23,1001846
2021-05-25,1169223
2021-05-30,6267503
2021-06-11,9823675
2021-06-23,1724787
2021-06-25,1890660
2021-06-26,2954218
2021-06-30,1881141
2021-07-03,640864
2021-07-06,2330553
2021-07-15,1774426
2021-07-19,611085
2021-07-20,1417582
2021-07-23,1610382
2021-07-23,3496437
2021-07-30,1228725
