pubdate,title,danmaku,arcurl,aid
2019-07-25,-1,10284,-1,-1
2019-07-25,-1,3288,-1,-1
2019-07-25,-1,8407,-1,-1
2019-07-26,【全程高能】父母眼中的蔡徐坤，我眼中的的蔡徐坤，ikun眼中的蔡徐坤,38755,http://www.bilibili.com/video/av60822016,60822016
2019-07-26,-1,21916,-1,-1
2019-07-27,-1,5258,-1,-1
2019-07-28,-1,5332,-1,-1
2019-07-29,-1,5139,-1,-1
2019-07-29,-1,9070,-1,-1
2019-07-30,-1,14074,-1,-1
2019-07-30,一年前我眼中的蔡徐坤，现在我眼中的蔡徐坤，蔡徐坤眼中的网友,23858,http://www.bilibili.com/video/av61263538,61263538
2019-07-30,-1,6518,-1,-1
2019-07-31,-1,527,-1,-1
2019-07-31,-1,4276,-1,-1
2019-07-31,-1,16226,-1,-1
2019-08-01,-1,15021,-1,-1
2019-08-02,-1,54,-1,-1
2019-08-02,-1,13009,-1,-1
2019-08-03,不同软件上的蔡徐坤有不一样的表现 生日快乐就完事了,35718,http://www.bilibili.com/video/av61975483,61975483
2019-08-03,-1,3584,-1,-1
2019-08-04,-1,1256,-1,-1
2019-08-05,-1,12472,-1,-1
2019-08-06,-1,7487,-1,-1
2019-08-07,-1,1024,-1,-1
2019-08-07,-1,699,-1,-1
2019-08-07,-1,5406,-1,-1
2019-08-08,从蔡徐坤事件，了解艺人公司的营销手段【缄默之声1】,86134,http://www.bilibili.com/video/av62800076,62800076
2019-08-08,-1,3986,-1,-1
2019-08-09,-1,7277,-1,-1
2019-08-09,-1,16269,-1,-1
2019-08-09,-1,15153,-1,-1
2019-08-10,-1,19637,-1,-1
2019-08-10,-1,8151,-1,-1
2019-08-10,-1,385,-1,-1
2019-08-12,-1,2792,-1,-1
2019-08-13,-1,7267,-1,-1
2019-08-13,-1,7303,-1,-1
2019-08-15,-1,2036,-1,-1
2019-08-16,-1,6803,-1,-1
2019-08-16,-1,10795,-1,-1
2019-08-16,-1,5432,-1,-1
