pubdate_x,title,review,arcurl,aid
2019-06-17,-1,1188,-1,55892910
2019-06-21,-1,211,-1,56243449
2019-06-21,-1,2507,-1,56362047
2019-06-21,-1,2507,-1,644275287
2019-06-21,-1,3136,-1,56241475
2019-06-22,-1,1548,-1,56343540
2019-06-22,-1,1548,-1,829061289
2019-06-22,-1,384,-1,56499186
2019-06-22,-1,384,-1,438214689
2019-06-22,-1,1098,-1,427833580
2019-06-22,-1,1098,-1,56375538
2019-06-23,全屏秒杀！那些出场自带地图buff的山海经异兽【潇洒观山海01】,9206,http://www.bilibili.com/video/av56617044,56617044
2019-06-23,-1,1804,-1,56626950
2019-06-23,-1,2049,-1,56602789
2019-06-24,-1,1289,-1,906501031
2019-06-24,-1,1289,-1,470018637
2019-06-24,-1,1289,-1,305064801
2019-06-24,-1,5225,-1,56712395
2019-06-24,-1,1289,-1,56731776
2019-06-26,-1,1684,-1,56898565
2019-06-26,-1,3738,-1,56895153
2019-06-29,-1,4016,-1,57230310
2019-06-29,-1,653,-1,471235850
2019-06-29,-1,653,-1,923116344
2019-06-29,-1,653,-1,57243278
2019-06-29,-1,653,-1,864293397
2019-06-30,-1,1817,-1,826225016
2019-06-30,-1,1139,-1,858743896
2019-06-30,-1,1817,-1,57371542
2019-06-30,-1,1139,-1,57305771
2019-07-01,-1,1991,-1,57427786
2019-07-03,-1,1648,-1,57737212
2019-07-03,-1,1648,-1,903262691
2019-07-03,-1,1648,-1,314706307
2019-07-04,-1,1776,-1,564830085
2019-07-04,-1,1776,-1,57863360
2019-07-04,-1,1776,-1,647487769
2019-07-04,-1,7657,-1,57798444
2019-07-05,-1,3856,-1,517760163
2019-07-05,-1,3856,-1,57939450
2019-07-05,-1,1219,-1,57986786
2019-07-06,-1,7275,-1,58040265
2019-07-07,-1,896,-1,58277461
2019-07-08,-1,1794,-1,384540374
2019-07-08,-1,1794,-1,58346530
2019-07-10,-1,4081,-1,58564250
2019-07-10,-1,1261,-1,403539841
2019-07-10,-1,1261,-1,58658350
2019-07-10,-1,2219,-1,58627889
2019-07-11,-1,1408,-1,58697540
2019-07-11,-1,1408,-1,517793485
2019-07-11,-1,1566,-1,428524052
2019-07-11,-1,1408,-1,939799480
2019-07-11,-1,1566,-1,58708621
2019-07-12,-1,2316,-1,58844586
2019-07-13,-1,1390,-1,58959851
2019-07-13,-1,3085,-1,59030827
2019-07-14,-1,905,-1,59206421
2019-07-14,-1,2039,-1,59132760
2019-07-14,-1,1256,-1,952941535
2019-07-14,-1,1256,-1,353571834
2019-07-14,-1,2557,-1,59163900
2019-07-14,-1,1256,-1,59165491
2019-07-15,-1,2271,-1,59301677
2019-07-15,-1,3284,-1,59336245
2019-07-18,-1,3683,-1,59698085
2019-07-18,-1,2731,-1,59685462
2019-07-20,-1,2191,-1,59920883
2019-07-21,-1,1168,-1,228440645
2019-07-21,-1,1168,-1,60088322
2019-07-22,-1,1015,-1,427069446
2019-07-22,-1,1015,-1,60287413
2019-07-22,-1,3119,-1,60343371
2019-07-23,蔡徐坤和周杰伦比，主持人都忍不住了,18640,http://www.bilibili.com/video/av60461189,60461189
2019-07-23,-1,543,-1,60377969
2019-07-23,周杰伦微博排名比蔡徐坤差那么多，为啥演唱会那么多人看啊？,8938,http://www.bilibili.com/video/av60287305,60287305
2019-07-23,-1,543,-1,903290989
2019-07-23,-1,543,-1,688144137
2019-07-23,-1,543,-1,473885961
2019-07-24,-1,1422,-1,60604545
2019-07-24,-1,2671,-1,60495038
2019-07-25,-1,4579,-1,60698088
2019-07-25,-1,320,-1,60756482
2019-07-25,-1,2340,-1,903591030
2019-07-25,-1,2340,-1,60715947
2019-07-25,-1,2340,-1,875061875
2019-07-26,-1,2395,-1,60822016
2019-07-26,-1,5666,-1,60760584
2019-07-27,-1,1302,-1,61080066
2019-07-27,-1,1302,-1,353165213
2019-07-27,-1,1302,-1,815645493
2019-07-28,-1,1151,-1,61163566
2019-07-29,-1,1491,-1,61222212
2019-07-29,-1,1871,-1,61344716
2019-07-30,-1,1913,-1,61438524
2019-07-30,-1,1913,-1,556680450
2019-07-30,-1,5594,-1,61442011
2019-07-30,-1,4702,-1,61263538
2019-07-30,-1,1913,-1,770959083
2019-07-31,-1,524,-1,911855729
2019-07-31,-1,524,-1,342759243
2019-07-31,-1,1316,-1,61575937
2019-07-31,-1,4656,-1,61548054
2019-07-31,-1,524,-1,61659483
2019-08-01,-1,2887,-1,61804968
2019-08-02,-1,202,-1,61862063
2019-08-02,-1,1544,-1,61956796
2019-08-03,-1,3456,-1,61975483
2019-08-03,-1,2332,-1,998034456
2019-08-03,-1,3456,-1,300797957
2019-08-03,-1,3456,-1,762763059
2019-08-03,-1,2332,-1,61963961
2019-08-04,-1,769,-1,561653232
2019-08-04,-1,769,-1,788049738
2019-08-04,-1,769,-1,906708445
2019-08-04,-1,769,-1,62236079
2019-08-05,-1,1420,-1,62409747
2019-08-05,-1,1420,-1,385955681
2019-08-06,-1,1888,-1,62455807
2019-08-07,-1,366,-1,562566805
2019-08-07,-1,366,-1,856843187
2019-08-07,-1,366,-1,62708209
2019-08-07,-1,366,-1,698199953
2019-08-07,-1,644,-1,62589269
2019-08-07,-1,366,-1,55202581
2019-08-07,-1,1600,-1,62613119
2019-08-07,-1,366,-1,570149645
2019-08-07,-1,644,-1,598018301
2019-08-08,-1,1893,-1,62744511
2019-08-08,从蔡徐坤事件，了解艺人公司的营销手段【缄默之声1】,12697,http://www.bilibili.com/video/av62800076,62800076
2019-08-09,-1,2099,-1,62946849
2019-08-09,-1,2626,-1,63007885
2019-08-09,-1,1662,-1,62860049
2019-08-10,-1,2176,-1,63124448
2019-08-10,-1,978,-1,63098254
2019-08-10,-1,2250,-1,63029627
2019-08-12,-1,907,-1,63341734
2019-08-12,-1,907,-1,733411922
2019-08-12,-1,907,-1,729232859
2019-08-13,-1,781,-1,446146638
2019-08-13,-1,781,-1,63407507
2019-08-13,-1,781,-1,602231059
2019-08-13,-1,781,-1,306644457
2019-08-13,-1,3232,-1,63538649
2019-08-15,-1,1709,-1,63904962
2019-08-16,-1,339,-1,63973929
2019-08-16,-1,339,-1,878821758
2019-08-16,-1,339,-1,525827615
2019-08-16,-1,4625,-1,64000126
2019-08-16,-1,5323,-1,63987224
2019-08-16,-1,901,-1,63878941
2019-08-19,-1,2922,-1,64456860
2019-08-21,-1,3710,-1,64716928
2019-08-23,-1,3079,-1,65048129
2019-08-24,-1,1140,-1,54864550
2019-08-24,-1,1140,-1,570502692
2019-08-24,-1,1140,-1,65200620
2019-08-24,-1,730,-1,65113948
2019-08-24,-1,730,-1,990996920
2019-08-24,-1,730,-1,519845370
2019-08-25,-1,1382,-1,65333244
2019-08-25,-1,2335,-1,65287125
2019-08-25,-1,1382,-1,773087236
2019-08-26,【全明星】芒种,9500,http://www.bilibili.com/video/av65408651,65408651
2019-08-28,【蔡徐坤】芒种,10894,http://www.bilibili.com/video/av65790846,65790846
2019-09-01,-1,2182,-1,66308616
2019-09-01,-1,7468,-1,66254103
2019-09-02,-1,1498,-1,66325689
2019-09-02,-1,1498,-1,473575425
2019-09-03,-1,4024,-1,66503669
2019-09-05,-1,5627,-1,66737892
2019-09-10,蔡徐坤2019金曲奖—美美美,8215,http://www.bilibili.com/video/av67185040,67185040
2019-09-12,-1,5000,-1,67479858
2019-09-13,-1,5839,-1,67530671
2019-09-14,-1,487,-1,67686027
2019-09-16,-1,1106,-1,67909520
2019-09-16,-1,1106,-1,92570301
2019-09-16,-1,1106,-1,604659261
2019-09-17,-1,186,-1,68034604
2019-09-18,-1,2959,-1,68189844
2019-09-19,蔡徐坤 | 修改后竟然疯狂卡点《 一起跳舞吧》！,8756,http://www.bilibili.com/video/av68295727,68295727
2019-09-20,-1,1392,-1,68401285
2019-09-22,-1,1097,-1,986176838
2019-09-22,-1,1097,-1,481574039
2019-09-22,-1,1097,-1,68601021
2019-09-23,-1,973,-1,68697077
2019-09-23,-1,973,-1,942706622
2019-09-30,-1,2004,-1,69465183
2019-09-30,-1,4591,-1,69342487
2019-10-04,-1,2281,-1,69992729
2019-10-04,对不起蔡徐坤，我们欠你一个道歉,20694,http://www.bilibili.com/video/av70040823,70040823
2019-10-08,-1,3298,-1,70555837
2019-10-10,-1,1318,-1,694658892
2019-10-10,-1,1318,-1,70744699
2019-10-12,-1,1360,-1,606476457
2019-10-12,-1,1360,-1,91720292
2019-10-12,-1,1360,-1,70971609
2019-10-13,当靠脸吃饭的明星越来越多，这是时代的悲哀,14866,http://www.bilibili.com/video/av71071148,71071148
2019-10-23,-1,1451,-1,315269192
2019-10-23,-1,1451,-1,73108398
2019-10-23,-1,1451,-1,999509613
2019-10-23,蔡徐坤与资本的博弈，首个为蔡徐坤正逻辑的视频，【资本与明星02集】,25903,http://www.bilibili.com/video/av73151051,73151051
2019-10-26,-1,1215,-1,73434310
2019-10-26,-1,1215,-1,785061396
2019-10-28,-1,5002,-1,73708667
2019-10-31,-1,1914,-1,74082681
2019-11-11,-1,0,-1,701924222
2019-11-11,-1,0,-1,75378029
2019-11-11,-1,0,-1,705834465
2019-11-11,-1,0,-1,694183840
2019-11-11,-1,0,-1,474388081
2019-11-11,-1,0,-1,313037070
2019-11-11,-1,0,-1,786180765
2019-11-11,-1,0,-1,888855324
2019-11-11,-1,0,-1,324807937
2019-11-11,-1,0,-1,241548445
2019-11-11,-1,0,-1,408473809
2019-11-14,-1,1240,-1,75668882
2019-11-14,-1,1014,-1,75635835
2019-11-14,-1,1240,-1,742497806
2019-11-14,-1,1240,-1,686051294
2019-11-15,-1,2788,-1,75781192
2019-11-15,-1,2034,-1,343675210
2019-11-15,-1,704,-1,75710839
