pubdate,title,like,arcurl,aid
2019-04-30,-1,114085,-1,-1
2019-04-30,-1,212708,-1,-1
2019-04-30,-1,34142,-1,-1
2019-05-01,-1,207304,-1,-1
2019-05-02,-1,79119,-1,-1
2019-05-02,男子参加选秀模仿蔡徐鲲打篮球，惊呆了观众评委...,503279,http://www.bilibili.com/video/av51199752,51199752
2019-05-02,-1,105053,-1,-1
2019-05-02,-1,105053,-1,-1
2019-05-03,-1,17606,-1,-1
2019-05-03,-1,93753,-1,-1
2019-05-03,-1,33796,-1,-1
2019-05-03,-1,90083,-1,-1
2019-05-03,-1,25300,-1,-1
2019-05-04,你这鲲鲲已经会勾引人？,619692,http://www.bilibili.com/video/av51442604,51442604
2019-05-05,-1,55315,-1,-1
2019-05-05,-1,371944,-1,-1
2019-05-08,只因你太美（鸡你太美）原版,483764,http://www.bilibili.com/video/av51818204,51818204
2019-05-09,-1,101463,-1,-1
2019-05-10,-1,28422,-1,-1
2019-05-10,-1,60935,-1,-1
2019-05-10,-1,233006,-1,-1
2019-05-13,-1,52032,-1,-1
2019-05-13,-1,121589,-1,-1
2019-05-13,-1,30022,-1,-1
2019-05-13,-1,118414,-1,-1
2019-05-14,-1,18726,-1,-1
2019-05-14,-1,18726,-1,-1
2019-05-15,-1,467109,-1,-1
2019-05-18,-1,92037,-1,-1
2019-05-19,-1,54388,-1,-1
2019-05-23,-1,440719,-1,-1
2019-05-24,-1,8634,-1,-1
2019-05-25,-1,46078,-1,-1
2019-05-25,-1,116307,-1,-1
2019-05-28,-1,40247,-1,-1
2019-05-30,-1,44172,-1,-1
2019-05-30,-1,106529,-1,-1
2019-05-31,-1,19303,-1,-1
2019-05-31,-1,44212,-1,-1
2019-06-05,-1,19776,-1,-1
2019-06-06,-1,141902,-1,-1
2019-06-06,-1,29342,-1,-1
2019-06-06,-1,167540,-1,-1
2019-06-07,-1,48422,-1,-1
2019-06-07,-1,37565,-1,-1
2019-06-07,-1,52423,-1,-1
2019-06-08,-1,21025,-1,-1
2019-06-08,-1,35203,-1,-1
2019-06-09,-1,29574,-1,-1
2019-06-10,-1,4857,-1,-1
2019-06-14,-1,23539,-1,-1
2019-06-17,-1,89042,-1,-1
2019-06-21,-1,5305,-1,-1
2019-06-21,-1,209504,-1,-1
2019-06-21,-1,73186,-1,-1
2019-06-22,-1,76547,-1,-1
2019-06-22,-1,29064,-1,-1
2019-06-22,-1,55569,-1,-1
2019-06-23,-1,178229,-1,-1
2019-06-23,-1,147279,-1,-1
2019-06-23,-1,15711,-1,-1
2019-06-24,-1,53486,-1,-1
2019-06-24,-1,171703,-1,-1
2019-06-26,-1,67721,-1,-1
2019-06-26,-1,405859,-1,-1
2019-06-29,-1,14466,-1,-1
2019-06-29,-1,115089,-1,-1
2019-06-30,-1,113064,-1,-1
2019-06-30,-1,37906,-1,-1
2019-07-01,-1,105891,-1,-1
2019-07-03,-1,105368,-1,-1
2019-07-04,-1,93406,-1,-1
2019-07-04,【卢本伟主演】头号玩家！第一集：面对鲲鲲的挑战，开车还是开扌？,802272,http://www.bilibili.com/video/av57798444,57798444
2019-07-05,-1,18618,-1,-1
2019-07-05,-1,24876,-1,-1
2019-07-06,-1,149500,-1,-1
2019-07-07,-1,61260,-1,-1
2019-07-08,-1,104851,-1,-1
2019-07-10,-1,21330,-1,-1
2019-07-10,-1,140722,-1,-1
2019-07-10,-1,22224,-1,-1
2019-07-11,-1,108576,-1,-1
2019-07-11,-1,15609,-1,-1
2019-07-12,-1,94588,-1,-1
2019-07-13,-1,89184,-1,-1
2019-07-13,-1,127343,-1,-1
2019-07-14,-1,130415,-1,-1
2019-07-14,-1,113721,-1,-1
2019-07-14,-1,140252,-1,-1
2019-07-14,-1,46970,-1,-1
2019-07-15,-1,103917,-1,-1
2019-07-15,-1,89238,-1,-1
2019-07-18,-1,27248,-1,-1
2019-07-18,-1,179104,-1,-1
2019-07-20,-1,101749,-1,-1
2019-07-21,-1,56187,-1,-1
2019-07-22,-1,131205,-1,-1
2019-07-22,-1,229956,-1,-1
2019-07-23,-1,19352,-1,-1
2019-07-23,-1,111961,-1,-1
2019-07-23,-1,159381,-1,-1
2019-07-24,-1,52276,-1,-1
2019-07-24,-1,92053,-1,-1
2019-07-25,-1,218577,-1,-1
2019-07-25,-1,22721,-1,-1
2019-07-25,-1,45249,-1,-1
2019-07-26,-1,128897,-1,-1
2019-07-26,-1,250324,-1,-1
2019-07-27,-1,41835,-1,-1
2019-07-28,-1,87661,-1,-1
2019-07-29,-1,108849,-1,-1
2019-07-29,-1,88917,-1,-1
2019-07-30,-1,41325,-1,-1
2019-07-30,-1,32073,-1,-1
2019-07-30,-1,191543,-1,-1
2019-07-31,-1,20376,-1,-1
2019-07-31,-1,22289,-1,-1
2019-07-31,-1,75135,-1,-1
2019-08-01,-1,127539,-1,-1
2019-08-02,-1,4063,-1,-1
2019-08-02,-1,152622,-1,-1
2019-08-03,-1,81001,-1,-1
2019-08-03,-1,67646,-1,-1
2019-08-04,-1,25364,-1,-1
2019-08-05,-1,153428,-1,-1
2019-08-06,-1,24697,-1,-1
2019-08-06,-1,24697,-1,-1
2019-08-07,-1,10222,-1,-1
2019-08-07,-1,35811,-1,-1
2019-08-07,-1,22010,-1,-1
2019-08-08,-1,119913,-1,-1
2019-08-08,-1,301641,-1,-1
2019-08-09,-1,20395,-1,-1
2019-08-09,-1,139802,-1,-1
2019-08-09,-1,189824,-1,-1
2019-08-10,-1,106929,-1,-1
2019-08-10,-1,236298,-1,-1
2019-08-10,-1,20054,-1,-1
2019-08-12,-1,44639,-1,-1
2019-08-13,-1,70780,-1,-1
2019-08-13,-1,22761,-1,-1
2019-08-15,-1,144679,-1,-1
2019-08-16,-1,21838,-1,-1
2019-08-16,-1,27246,-1,-1
2019-08-16,-1,221557,-1,-1
2019-08-16,-1,155454,-1,-1
2019-08-19,-1,89781,-1,-1
2019-08-21,-1,223688,-1,-1
2019-08-23,-1,116253,-1,-1
2019-08-24,-1,31995,-1,-1
2019-08-24,-1,33005,-1,-1
2019-08-25,-1,123044,-1,-1
2019-08-25,-1,108381,-1,-1
2019-08-26,【全明星】芒种,984327,http://www.bilibili.com/video/av65408651,65408651
2019-08-28,【蔡徐坤】芒种,507279,http://www.bilibili.com/video/av65790846,65790846
2019-09-01,-1,15179,-1,-1
2019-09-01,-1,28409,-1,-1
2019-09-02,-1,92111,-1,-1
2019-09-03,-1,38500,-1,-1
2019-09-05,-1,55799,-1,-1
2019-09-10,-1,193732,-1,-1
2019-09-12,-1,146783,-1,-1
2019-09-13,-1,428290,-1,-1
2019-09-14,-1,16531,-1,-1
2019-09-16,-1,84583,-1,-1
2019-09-17,-1,20898,-1,-1
2019-09-18,-1,12949,-1,-1
2019-09-19,-1,73244,-1,-1
2019-09-20,-1,54756,-1,-1
2019-09-22,-1,41001,-1,-1
2019-09-23,-1,52711,-1,-1
2019-09-30,-1,106684,-1,-1
2019-09-30,-1,228834,-1,-1
2019-10-04,-1,160458,-1,-1
2019-10-04,-1,236038,-1,-1
2019-10-08,-1,9259,-1,-1
2019-10-10,-1,28870,-1,-1
2019-10-12,-1,158441,-1,-1
2019-10-13,-1,198136,-1,-1
2019-10-23,-1,114553,-1,-1
2019-10-23,-1,324024,-1,-1
2019-10-26,-1,108942,-1,-1
2019-10-28,-1,148899,-1,-1
2019-10-31,-1,55356,-1,-1
2019-11-11,-1,97644,-1,-1
2019-11-14,-1,73473,-1,-1
2019-11-14,-1,65840,-1,-1
2019-11-15,-1,239789,-1,-1
2019-11-15,-1,74126,-1,-1
2019-11-15,-1,53645,-1,-1
2019-11-15,-1,133954,-1,-1
2019-11-17,-1,59615,-1,-1
2019-11-23,-1,125548,-1,-1
2019-11-28,-1,90720,-1,-1
2019-12-03,-1,27774,-1,-1
2019-12-03,-1,77947,-1,-1
2019-12-07,-1,8102,-1,-1
2019-12-07,-1,445434,-1,-1
2019-12-07,-1,66265,-1,-1
2019-12-08,-1,26947,-1,-1
2019-12-08,-1,66621,-1,-1
2019-12-13,-1,465862,-1,-1
2019-12-14,-1,101555,-1,-1
2019-12-15,-1,56309,-1,-1
2019-12-15,-1,117108,-1,-1
2019-12-17,-1,89941,-1,-1
2019-12-19,-1,129082,-1,-1
2019-12-21,-1,37360,-1,-1
2019-12-24,-1,357524,-1,-1
2019-12-26,-1,256037,-1,-1
2019-12-27,-1,103802,-1,-1
2019-12-27,-1,190447,-1,-1
2019-12-27,-1,158825,-1,-1
2019-12-29,-1,32711,-1,-1
2019-12-31,-1,100551,-1,-1
2020-01-01,-1,71511,-1,-1
2020-01-01,-1,47467,-1,-1
2020-01-06,-1,29428,-1,-1
2020-01-06,-1,147653,-1,-1
2020-01-07,-1,60245,-1,-1
2020-01-09,-1,101614,-1,-1
2020-01-12,-1,193105,-1,-1
2020-01-16,-1,64740,-1,-1
2020-01-16,-1,331564,-1,-1
2020-01-17,-1,34649,-1,-1
2020-01-17,-1,29188,-1,-1
2020-01-17,-1,29188,-1,-1
2020-01-19,-1,85223,-1,-1
2020-01-22,-1,67295,-1,-1
2020-01-23,-1,100108,-1,-1
2020-01-24,-1,50240,-1,-1
2020-01-25,-1,121482,-1,-1
2020-01-28,-1,123411,-1,-1
2020-01-28,-1,200625,-1,-1
2020-01-30,-1,25748,-1,-1
2020-02-02,-1,84641,-1,-1
2020-02-02,【蔡徐坤】仙剑鸡侠传,1130900,http://www.bilibili.com/video/av86208216,86208216
2020-02-07,-1,153078,-1,-1
2020-02-09,-1,213795,-1,-1
2020-02-11,-1,24277,-1,-1
2020-02-12,【绝活】爆肝六小时，用瓜子模仿蔡徐坤打篮球,648747,http://www.bilibili.com/video/av88317675,88317675
2020-02-13,-1,33790,-1,-1
2020-02-14,-1,123619,-1,-1
2020-02-16,-1,71065,-1,-1
2020-02-18,-1,50356,-1,-1
2020-02-19,-1,477581,-1,-1
2020-02-22,-1,333443,-1,-1
2020-02-23,-1,3714,-1,-1
2020-02-24,-1,83299,-1,-1
2020-02-25,-1,73517,-1,-1
2020-02-26,-1,27450,-1,-1
2020-02-26,-1,101181,-1,-1
2020-02-26,-1,222610,-1,-1
2020-02-29,-1,148507,-1,-1
2020-03-04,-1,99471,-1,-1
2020-03-05,-1,133212,-1,-1
2020-03-08,-1,93581,-1,-1
2020-03-10,-1,176105,-1,-1
2020-03-12,-1,200189,-1,-1
2020-03-12,【冰雪奇缘】步 入 迷 惑,674456,http://www.bilibili.com/video/av95581364,95581364
2020-03-13,-1,50526,-1,-1
2020-03-16,-1,41979,-1,-1
2020-03-17,-1,242511,-1,-1
2020-03-17,-1,153168,-1,-1
2020-03-20,-1,118805,-1,-1
2020-03-23,-1,92348,-1,-1
2020-03-24,-1,88692,-1,-1
2020-03-25,-1,63339,-1,-1
2020-03-26,建议改成：中 美 日 合 拍,935149,http://www.bilibili.com/video/av99477298,99477298
2020-03-28,-1,160983,-1,-1
2020-03-30,-1,322539,-1,-1
2020-03-30,-1,265448,-1,-1
2020-03-31,-1,33653,-1,-1
2020-03-31,-1,126483,-1,-1
2020-03-31,-1,27885,-1,-1
2020-04-08,-1,159592,-1,-1
2020-04-09,-1,15425,-1,-1
2020-04-12,-1,295656,-1,-1
2020-04-17,-1,42577,-1,-1
2020-04-18,-1,63977,-1,-1
2020-04-19,-1,102216,-1,-1
2020-04-20,-1,54282,-1,-1
2020-04-23,-1,168761,-1,-1
2020-04-30,-1,144352,-1,-1
2020-04-30,-1,231935,-1,-1
2020-05-01,-1,74283,-1,-1
2020-05-02,-1,42000,-1,-1
2020-05-04,-1,90115,-1,-1
2020-05-10,-1,18826,-1,-1
2020-05-14,-1,272543,-1,-1
2020-05-20,-1,73488,-1,-1
2020-05-20,-1,27340,-1,-1
2020-05-23,-1,167406,-1,-1
2020-05-26,-1,58860,-1,-1
2020-05-27,-1,19451,-1,-1
2020-06-01,-1,353520,-1,-1
2020-06-03,-1,192317,-1,-1
2020-06-08,-1,212648,-1,-1
2020-06-11,-1,23227,-1,-1
2020-06-17,-1,105982,-1,-1
2020-06-24,-1,66479,-1,-1
2020-07-02,-1,57082,-1,-1
2020-07-15,-1,49136,-1,-1
2020-07-29,-1,241673,-1,-1
2020-08-04,-1,31183,-1,-1
2020-08-07,-1,117552,-1,-1
2020-08-14,-1,20440,-1,-1
2020-08-24,-1,94748,-1,-1
2020-09-13,-1,14571,-1,-1
2020-09-20,-1,62395,-1,-1
2020-09-20,-1,44928,-1,-1
2020-10-01,【搞笑丧尸片】鲲山行（70分钟完整版） 卢本伟&amp;茄子&amp;周淑怡 等领衔主演,541676,http://www.bilibili.com/video/av927372302,927372302
2020-10-17,-1,9315,-1,-1
2020-10-18,-1,34553,-1,-1
2020-10-18,-1,34553,-1,-1
2020-10-23,-1,19227,-1,-1
2020-11-08,-1,43687,-1,-1
2020-11-13,-1,1640,-1,-1
2020-11-13,-1,1640,-1,-1
2020-11-15,-1,7486,-1,-1
2020-11-30,-1,62874,-1,-1
2020-12-06,-1,62633,-1,-1
2020-12-07,-1,182907,-1,-1
2020-12-09,-1,63292,-1,-1
2020-12-15,-1,52516,-1,-1
2020-12-19,-1,112394,-1,-1
2020-12-24,-1,204312,-1,-1
2021-01-05,-1,21351,-1,-1
2021-01-05,-1,3258,-1,-1
2021-01-15,-1,38094,-1,-1
2021-01-22,-1,56949,-1,-1
2021-01-25,-1,101892,-1,-1
2021-01-27,-1,122025,-1,-1
2021-01-28,-1,78348,-1,-1
2021-01-30,-1,173432,-1,-1
2021-01-30,-1,179320,-1,-1
2021-02-01,-1,28790,-1,-1
2021-02-02,-1,133748,-1,-1
2021-02-06,-1,63750,-1,-1
2021-02-09,-1,168379,-1,-1
2021-02-12,-1,136172,-1,-1
2021-02-15,-1,6563,-1,-1
2021-02-16,-1,302183,-1,-1
2021-02-17,-1,30612,-1,-1
2021-02-21,-1,82690,-1,-1
2021-02-23,-1,72093,-1,-1
2021-02-27,-1,61127,-1,-1
2021-03-02,-1,30910,-1,-1
2021-03-09,-1,59380,-1,-1
2021-03-10,-1,119310,-1,-1
2021-03-12,-1,78686,-1,-1
2021-03-19,-1,57366,-1,-1
2021-03-24,-1,31112,-1,-1
2021-03-26,-1,9802,-1,-1
2021-03-30,蔡徐坤当众表演生孩子，三秒后星爷实在是看不下去了！,495634,http://www.bilibili.com/video/av332373395,332373395
2021-04-06,-1,13190,-1,-1
2021-04-08,-1,349909,-1,-1
2021-04-24,-1,84435,-1,-1
2021-04-24,-1,84435,-1,-1
2021-05-12,-1,137317,-1,-1
2021-05-17,-1,40159,-1,-1
2021-05-23,-1,70832,-1,-1
2021-05-25,-1,13333,-1,-1
2021-05-30,-1,250455,-1,-1
2021-06-11,-1,262454,-1,-1
2021-06-23,-1,66700,-1,-1
2021-06-25,-1,30485,-1,-1
2021-06-26,-1,56791,-1,-1
2021-06-30,-1,70788,-1,-1
2021-07-03,-1,1098,-1,-1
2021-07-06,-1,94086,-1,-1
2021-07-15,-1,5458,-1,-1
2021-07-19,-1,10081,-1,-1
2021-07-20,-1,86070,-1,-1
2021-07-23,-1,60074,-1,-1
2021-07-23,-1,214251,-1,-1
2021-07-30,-1,75106,-1,-1
2021-08-03,-1,22944,-1,-1
2021-08-10,鸡 你 太 踊,605255,http://www.bilibili.com/video/av717173685,717173685
2021-08-10,-1,7986,-1,-1
2021-08-10,-1,7986,-1,-1
2021-08-12,【部落冲突】爆肝n天，手摆365帧（365个阵型）完美还原蔡徐坤打篮球，鸡你太美~,539258,http://www.bilibili.com/video/av462273823,462273823
2021-08-18,-1,1145,-1,-1
2021-08-29,-1,119533,-1,-1
2021-08-31,-1,155012,-1,-1
2021-09-02,-1,114384,-1,-1
2021-09-04,-1,48569,-1,-1
2021-09-05,-1,140056,-1,-1
2021-09-06,-1,134702,-1,-1
2021-09-11,-1,241297,-1,-1
2021-09-20,-1,82822,-1,-1
2021-09-20,-1,6356,-1,-1
2021-09-20,-1,14303,-1,-1
2021-09-25,-1,43100,-1,-1
2021-10-06,-1,104289,-1,-1
2021-10-13,-1,202476,-1,-1
2021-10-23,-1,26926,-1,-1
2021-10-23,-1,63701,-1,-1
2021-10-27,-1,67605,-1,-1
2021-11-03,-1,8680,-1,-1
2021-11-06,-1,47691,-1,-1
2021-11-10,-1,1640,-1,-1
2021-11-10,-1,1640,-1,-1
2021-11-13,-1,70328,-1,-1
2021-11-14,-1,9212,-1,-1
2021-11-15,-1,22833,-1,-1
2021-11-23,-1,105005,-1,-1
2021-11-24,-1,180658,-1,-1
2021-11-27,-1,26439,-1,-1
2021-12-01,-1,108540,-1,-1
2021-12-13,-1,99699,-1,-1
2021-12-22,-1,260450,-1,-1
2021-12-29,-1,44357,-1,-1
2021-12-31,-1,50090,-1,-1
2022-01-10,-1,33429,-1,-1
2022-01-13,-1,224716,-1,-1
2022-01-16,-1,23492,-1,-1
2022-01-16,-1,138890,-1,-1
2022-01-17,-1,230560,-1,-1
2022-01-19,-1,15251,-1,-1
2022-01-20,-1,67138,-1,-1
2022-01-22,-1,65951,-1,-1
2022-01-27,-1,11870,-1,-1
2022-02-05,-1,86067,-1,-1
2022-02-07,-1,3726,-1,-1
2022-02-08,-1,68913,-1,-1
2022-02-11,-1,73531,-1,-1
2022-02-17,-1,60265,-1,-1
2022-02-19,-1,94440,-1,-1
2022-02-20,-1,213822,-1,-1
2022-02-22,-1,119133,-1,-1
2022-02-23,-1,140170,-1,-1
2022-03-02,-1,16725,-1,-1
2022-03-02,-1,95594,-1,-1
2022-03-03,-1,200023,-1,-1
2022-03-11,-1,39674,-1,-1
2022-03-13,-1,83445,-1,-1
2022-03-19,-1,143552,-1,-1
2022-03-20,-1,130027,-1,-1
2022-03-21,-1,12907,-1,-1
2022-03-22,-1,233872,-1,-1
2022-03-23,-1,382569,-1,-1
2022-03-24,-1,263071,-1,-1
2022-03-25,-1,173097,-1,-1
2022-03-26,-1,116661,-1,-1
2022-04-05,-1,143823,-1,-1
2022-04-05,-1,27420,-1,-1
2022-04-05,-1,16475,-1,-1
2022-04-05,-1,12571,-1,-1
2022-04-09,-1,6173,-1,-1
2022-04-09,-1,136916,-1,-1
2022-04-10,-1,68200,-1,-1
2022-04-10,-1,63049,-1,-1
2022-04-12,-1,151999,-1,-1
2022-04-13,-1,109340,-1,-1
2022-04-13,-1,11032,-1,-1
2022-04-13,-1,80357,-1,-1
2022-04-14,-1,127419,-1,-1
2022-04-14,-1,122314,-1,-1
2022-04-14,-1,83820,-1,-1
2022-04-16,-1,17836,-1,-1
2022-04-16,-1,47477,-1,-1
2022-04-17,-1,71069,-1,-1
2022-04-22,-1,211475,-1,-1
2022-04-23,-1,175316,-1,-1
2022-04-23,-1,39686,-1,-1
2022-04-24,-1,79673,-1,-1
2022-04-26,-1,191782,-1,-1
2022-04-27,-1,22629,-1,-1
2022-04-29,-1,395040,-1,-1
2022-04-29,-1,146895,-1,-1
2022-04-30,-1,99307,-1,-1
2022-04-30,-1,80550,-1,-1
2022-05-03,-1,297194,-1,-1
2022-05-05,-1,80130,-1,-1
2022-05-05,-1,93018,-1,-1
2022-05-06,-1,32870,-1,-1
2022-05-06,-1,157491,-1,-1
2022-05-06,-1,43874,-1,-1
2022-05-06,-1,11057,-1,-1
2022-05-06,-1,355946,-1,-1
2022-05-07,-1,100318,-1,-1
2022-05-07,-1,149151,-1,-1
2022-05-07,-1,176328,-1,-1
2022-05-08,-1,368503,-1,-1
2022-05-09,-1,69803,-1,-1
2022-05-10,-1,164618,-1,-1
2022-05-10,-1,7000,-1,-1
2022-05-12,-1,188237,-1,-1
2022-05-12,-1,112566,-1,-1
2022-05-14,-1,63961,-1,-1
2022-05-15,-1,441236,-1,-1
2022-05-15,-1,11994,-1,-1
2022-05-16,-1,164459,-1,-1
2022-05-16,-1,313642,-1,-1
2022-05-17,-1,133953,-1,-1
2022-05-17,-1,123926,-1,-1
2022-05-17,-1,259627,-1,-1
2022-05-18,-1,203799,-1,-1
2022-05-18,-1,99912,-1,-1
2022-05-19,-1,163338,-1,-1
2022-05-19,-1,137826,-1,-1
2022-05-20,我 是 养 鸡 的,1074474,http://www.bilibili.com/video/av511688860,511688860
2022-05-22,-1,63568,-1,-1
2022-05-22,-1,72340,-1,-1
2022-05-23,-1,39534,-1,-1
2022-05-23,-1,19006,-1,-1
2022-05-24,-1,110364,-1,-1
2022-05-24,懒 得 爱 你,570824,http://www.bilibili.com/video/av341959877,341959877
2022-05-24,-1,70053,-1,-1
2022-05-25,-1,169662,-1,-1
2022-05-25,-1,164890,-1,-1
2022-05-26,-1,122256,-1,-1
2022-05-27,-1,85783,-1,-1
2022-05-27,-1,225282,-1,-1
2022-05-28,-1,151008,-1,-1
2022-05-29,-1,36596,-1,-1
2022-05-29,-1,230071,-1,-1
2022-05-29,-1,52511,-1,-1
2022-05-29,-1,180429,-1,-1
2022-05-29,-1,36840,-1,-1
2022-05-29,-1,81916,-1,-1
2022-05-30,-1,123065,-1,-1
2022-05-30,-1,141535,-1,-1
2022-06-01,-1,112926,-1,-1
2022-06-01,-1,114248,-1,-1
2022-06-02,-1,126187,-1,-1
2022-06-03,-1,20098,-1,-1
2022-06-03,-1,159546,-1,-1
2022-06-03,-1,96739,-1,-1
2022-06-03,-1,49151,-1,-1
2022-06-04,-1,8039,-1,-1
2022-06-04,-1,27816,-1,-1
2022-06-04,-1,61155,-1,-1
2022-06-05,-1,33977,-1,-1
2022-06-05,-1,69633,-1,-1
2022-06-06,-1,438236,-1,-1
2022-06-07,-1,13805,-1,-1
2022-06-07,-1,236060,-1,-1
2022-06-08,-1,105428,-1,-1
2022-06-08,-1,136091,-1,-1
2022-06-09,-1,370629,-1,-1
2022-06-09,-1,90931,-1,-1
2022-06-10,-1,151830,-1,-1
2022-06-10,-1,36630,-1,-1
2022-06-11,-1,209335,-1,-1
2022-06-11,-1,28052,-1,-1
2022-06-11,-1,62357,-1,-1
2022-06-11,-1,110780,-1,-1
2022-06-11,-1,308435,-1,-1
2022-06-12,-1,44337,-1,-1
2022-06-13,-1,204485,-1,-1
2022-06-13,-1,58311,-1,-1
2022-06-14,-1,144810,-1,-1
2022-06-14,-1,105053,-1,-1
2022-06-14,-1,105053,-1,-1
