pubdate,title,play,arcurl,aid
2019-09-13,-1,5793224,-1,-1
2019-09-14,-1,626855,-1,-1
2019-09-16,-1,1493460,-1,-1
2019-09-17,-1,2743865,-1,-1
2019-09-18,-1,1007096,-1,-1
2019-09-19,-1,1683480,-1,-1
2019-09-20,-1,2404475,-1,-1
2019-09-22,-1,1702044,-1,-1
2019-09-23,-1,1295466,-1,-1
2019-09-30,-1,3311226,-1,-1
2019-09-30,-1,4740317,-1,-1
2019-10-04,-1,6308864,-1,-1
2019-10-04,-1,3795829,-1,-1
2019-10-08,-1,752956,-1,-1
2019-10-10,-1,655712,-1,-1
2019-10-12,-1,2551590,-1,-1
2019-10-13,-1,2407337,-1,-1
2019-10-23,-1,3383186,-1,-1
2019-10-23,-1,3646894,-1,-1
2019-10-26,-1,2112729,-1,-1
2019-10-28,【蔡徐坤】你干嘛，唉哟！原版完整,8710754,http://www.bilibili.com/video/av73708667,73708667
2019-10-31,-1,826221,-1,-1
2019-11-11,-1,1708898,-1,-1
2019-11-14,-1,2174724,-1,-1
2019-11-14,-1,2578685,-1,-1
2019-11-15,-1,1493740,-1,-1
2019-11-15,-1,3088486,-1,-1
2019-11-15,-1,1017096,-1,-1
2019-11-15,-1,3471752,-1,-1
2019-11-17,-1,1283568,-1,-1
2019-11-23,-1,1782145,-1,-1
2019-11-28,-1,2688879,-1,-1
2019-12-03,-1,2006378,-1,-1
2019-12-03,-1,4436629,-1,-1
2019-12-07,【苏卡不列】2019 诸 神 之 战,14320099,http://www.bilibili.com/video/av78367567,78367567
2019-12-07,-1,1679180,-1,-1
2019-12-07,-1,1263445,-1,-1
2019-12-08,-1,2138240,-1,-1
2019-12-08,-1,1196353,-1,-1
2019-12-13,学校领导：???     晚会你给我整这个？,7866051,http://www.bilibili.com/video/av79069869,79069869
2019-12-14,-1,2578754,-1,-1
2019-12-15,-1,2504556,-1,-1
2019-12-15,-1,1299548,-1,-1
2019-12-17,-1,2445639,-1,-1
2019-12-19,-1,2187547,-1,-1
2019-12-21,-1,1133319,-1,-1
2019-12-24,-1,2723099,-1,-1
2019-12-26,-1,4122243,-1,-1
2019-12-27,-1,1954260,-1,-1
2019-12-27,-1,3104245,-1,-1
2019-12-27,-1,3828721,-1,-1
2019-12-29,-1,1642597,-1,-1
2019-12-31,-1,2050557,-1,-1
2020-01-01,-1,1215638,-1,-1
2020-01-01,-1,1928189,-1,-1
2020-01-06,-1,2519696,-1,-1
2020-01-06,-1,2927177,-1,-1
2020-01-07,-1,1140999,-1,-1
2020-01-09,-1,3426783,-1,-1
2020-01-12,快 乐 崇 拜,8020036,http://www.bilibili.com/video/av83193619,83193619
2020-01-16,-1,5682019,-1,-1
2020-01-16,-1,1622871,-1,-1
2020-01-17,-1,694383,-1,-1
2020-01-17,-1,907407,-1,-1
2020-01-19,-1,1574493,-1,-1
2020-01-22,-1,2076124,-1,-1
2020-01-23,-1,1365531,-1,-1
2020-01-24,-1,1728779,-1,-1
2020-01-25,-1,2192712,-1,-1
2020-01-28,-1,1352454,-1,-1
2020-01-28,-1,1952521,-1,-1
2020-01-30,-1,431384,-1,-1
2020-02-02,-1,2841616,-1,-1
2020-02-02,【蔡徐坤】仙剑鸡侠传,19100552,http://www.bilibili.com/video/av86208216,86208216
2020-02-07,-1,2344419,-1,-1
2020-02-09,-1,3799778,-1,-1
2020-02-11,-1,594475,-1,-1
2020-02-12,-1,6895587,-1,-1
2020-02-13,-1,793989,-1,-1
2020-02-14,-1,3025812,-1,-1
2020-02-16,-1,1903034,-1,-1
2020-02-18,-1,1447077,-1,-1
2020-02-19,【蔡徐坤】曹操,9093462,http://www.bilibili.com/video/av89997471,89997471
2020-02-22,-1,5619284,-1,-1
2020-02-23,-1,595876,-1,-1
2020-02-24,-1,1596670,-1,-1
2020-02-25,-1,1600397,-1,-1
2020-02-26,-1,2938750,-1,-1
2020-02-26,-1,1770063,-1,-1
2020-02-26,-1,692261,-1,-1
2020-02-29,-1,1301647,-1,-1
2020-03-04,-1,732440,-1,-1
2020-03-05,-1,2149280,-1,-1
2020-03-08,-1,2555373,-1,-1
2020-03-10,-1,2130769,-1,-1
2020-03-12,-1,6706782,-1,-1
2020-03-12,-1,2608767,-1,-1
2020-03-13,-1,687213,-1,-1
2020-03-16,-1,599442,-1,-1
2020-03-17,-1,2606766,-1,-1
2020-03-17,-1,4098178,-1,-1
2020-03-20,-1,1122579,-1,-1
2020-03-23,-1,1921756,-1,-1
2020-03-24,-1,1471176,-1,-1
2020-03-25,-1,1649495,-1,-1
2020-03-26,建议改成：中 美 日 合 拍,12708539,http://www.bilibili.com/video/av99477298,99477298
2020-03-28,-1,2923210,-1,-1
2020-03-30,-1,2726300,-1,-1
2020-03-30,-1,3210185,-1,-1
2020-03-31,-1,2593244,-1,-1
2020-03-31,-1,1246018,-1,-1
2020-03-31,-1,1533385,-1,-1
2020-04-08,-1,2167624,-1,-1
2020-04-09,-1,1112959,-1,-1
2020-04-12,-1,3398890,-1,-1
2020-04-17,-1,1625206,-1,-1
2020-04-18,-1,1754774,-1,-1
2020-04-19,-1,1708915,-1,-1
2020-04-20,-1,2237206,-1,-1
2020-04-23,-1,1123669,-1,-1
2020-04-30,-1,3037118,-1,-1
2020-04-30,-1,1774134,-1,-1
2020-05-01,-1,1993192,-1,-1
2020-05-02,-1,1166254,-1,-1
2020-05-04,-1,1153225,-1,-1
2020-05-10,-1,720944,-1,-1
2020-05-14,-1,4787021,-1,-1
2020-05-20,-1,1166331,-1,-1
2020-05-20,-1,611406,-1,-1
2020-05-23,-1,2489629,-1,-1
2020-05-26,-1,1179141,-1,-1
2020-05-27,-1,2356730,-1,-1
2020-06-01,-1,4084338,-1,-1
2020-06-03,-1,3753923,-1,-1
2020-06-08,-1,2820964,-1,-1
2020-06-11,-1,1325325,-1,-1
2020-06-17,-1,1668491,-1,-1
2020-06-24,-1,1733213,-1,-1
2020-07-02,-1,2449370,-1,-1
2020-07-15,-1,733131,-1,-1
2020-07-29,-1,2266131,-1,-1
2020-08-04,-1,1346065,-1,-1
2020-08-07,-1,1642888,-1,-1
2020-08-14,-1,598355,-1,-1
2020-08-24,-1,1485636,-1,-1
2020-09-13,-1,655371,-1,-1
2020-09-20,-1,2451005,-1,-1
2020-09-20,-1,4178178,-1,-1
