pubdate,title,duration,arcurl,aid
2019-07-31,-1,1.37,-1,-1
2019-08-01,-1,2.53,-1,-1
2019-08-02,-1,0.62,-1,-1
2019-08-02,-1,2.27,-1,-1
2019-08-03,-1,3.25,-1,-1
2019-08-03,-1,3.95,-1,-1
2019-08-04,-1,2.37,-1,-1
2019-08-05,-1,4.43,-1,-1
2019-08-06,-1,3.13,-1,-1
2019-08-07,-1,0.98,-1,-1
2019-08-07,-1,3.57,-1,-1
2019-08-07,-1,0.25,-1,-1
2019-08-08,从蔡徐坤事件，了解艺人公司的营销手段【缄默之声1】,22.18,http://www.bilibili.com/video/av62800076,62800076
2019-08-08,-1,1.33,-1,-1
2019-08-09,-1,2.93,-1,-1
2019-08-09,-1,1.72,-1,-1
2019-08-09,-1,4.07,-1,-1
2019-08-10,-1,3.27,-1,-1
2019-08-10,-1,0.95,-1,-1
2019-08-10,-1,0.2,-1,-1
2019-08-12,-1,1.42,-1,-1
2019-08-13,-1,1.95,-1,-1
2019-08-13,-1,2.4,-1,-1
2019-08-15,-1,1.05,-1,-1
2019-08-16,【大事件】坤坤问鼎流量王座？坤伦之战一触即发 暴走大事件第六季 30,26.63,http://www.bilibili.com/video/av63987224,63987224
2019-08-16,-1,2.38,-1,-1
2019-08-16,-1,1.95,-1,-1
2019-08-16,-1,3.35,-1,-1
2019-08-19,-1,1.15,-1,-1
2019-08-21,-1,1.85,-1,-1
2019-08-23,-1,7.47,-1,-1
2019-08-24,-1,11.3,-1,-1
2019-08-24,-1,2.03,-1,-1
2019-08-25,-1,9.25,-1,-1
2019-08-25,-1,4.78,-1,-1
2019-08-26,-1,3.03,-1,-1
2019-08-28,-1,3.27,-1,-1
2019-09-01,-1,1.67,-1,-1
2019-09-01,-1,1.15,-1,-1
2019-09-02,-1,2.1,-1,-1
2019-09-03,-1,1.9,-1,-1
2019-09-05,-1,2.12,-1,-1
2019-09-10,-1,2.5,-1,-1
2019-09-12,-1,9.43,-1,-1
2019-09-13,【卢本伟主演】头号玩家！第二集：卢本伟身陷九九八十一难，能否通关？,13.7,http://www.bilibili.com/video/av67530671,67530671
2019-09-14,-1,1.67,-1,-1
2019-09-16,-1,1.28,-1,-1
2019-09-17,-1,0.17,-1,-1
2019-09-18,-1,2.58,-1,-1
2019-09-19,-1,3.2,-1,-1
2019-09-20,徐老师来巡山233：一轮野怪五个金铲 鸡你实在是太美,12.9,http://www.bilibili.com/video/av68401285,68401285
2019-09-22,-1,1.13,-1,-1
2019-09-23,-1,1.83,-1,-1
2019-09-30,-1,2.13,-1,-1
2019-09-30,-1,7.13,-1,-1
2019-10-04,-1,6.07,-1,-1
2019-10-04,-1,6.87,-1,-1
2019-10-08,-1,1.05,-1,-1
2019-10-10,-1,2.77,-1,-1
2019-10-12,-1,6.97,-1,-1
2019-10-13,-1,4.38,-1,-1
2019-10-23,-1,1.15,-1,-1
2019-10-23,蔡徐坤与资本的博弈，首个为蔡徐坤正逻辑的视频，【资本与明星02集】,16.43,http://www.bilibili.com/video/av73151051,73151051
2019-10-26,-1,6.78,-1,-1
2019-10-28,-1,0.73,-1,-1
2019-10-31,-1,1.0,-1,-1
2019-11-11,-1,1.1,-1,-1
2019-11-14,-1,0.93,-1,-1
2019-11-14,-1,1.42,-1,-1
2019-11-15,-1,5.0,-1,-1
2019-11-15,-1,10.15,-1,-1
2019-11-15,-1,2.3,-1,-1
2019-11-15,-1,6.18,-1,-1
2019-11-17,-1,1.02,-1,-1
2019-11-23,-1,6.1,-1,-1
2019-11-28,-1,1.02,-1,-1
2019-12-03,-1,0.17,-1,-1
2019-12-03,-1,0.45,-1,-1
2019-12-07,-1,5.93,-1,-1
2019-12-07,-1,0.27,-1,-1
2019-12-07,-1,1.08,-1,-1
2019-12-08,-1,0.78,-1,-1
2019-12-08,-1,1.07,-1,-1
2019-12-13,-1,12.07,-1,-1
2019-12-14,-1,2.0,-1,-1
2019-12-15,-1,5.25,-1,-1
2019-12-15,-1,1.08,-1,-1
2019-12-17,-1,2.93,-1,-1
2019-12-19,-1,2.05,-1,-1
2019-12-21,-1,1.62,-1,-1
2019-12-24,-1,1.27,-1,-1
2019-12-26,-1,3.08,-1,-1
2019-12-27,-1,6.47,-1,-1
2019-12-27,-1,6.22,-1,-1
2019-12-27,-1,2.85,-1,-1
2019-12-29,-1,2.37,-1,-1
2019-12-31,-1,1.07,-1,-1
2020-01-01,-1,1.3,-1,-1
2020-01-01,-1,3.33,-1,-1
2020-01-06,-1,3.85,-1,-1
2020-01-06,-1,1.8,-1,-1
2020-01-07,-1,3.45,-1,-1
2020-01-09,-1,1.73,-1,-1
2020-01-12,-1,1.77,-1,-1
2020-01-16,-1,7.15,-1,-1
2020-01-16,-1,1.7,-1,-1
2020-01-17,-1,3.5,-1,-1
2020-01-17,-1,3.4,-1,-1
2020-01-19,-1,5.37,-1,-1
2020-01-22,-1,2.82,-1,-1
2020-01-23,-1,9.78,-1,-1
2020-01-24,-1,1.68,-1,-1
2020-01-25,-1,3.73,-1,-1
2020-01-28,-1,1.55,-1,-1
2020-01-28,-1,1.02,-1,-1
2020-01-30,-1,0.55,-1,-1
